id,artist,title,bpm,category,yearReleased
1454,Loud Luxury,Body,122,C,2018
1455,Childish Gambino,Summertime Magic,100,R,2018
1456,Post Malone (f/Ty Dolla $ign),Psycho,70,R,2018
1457,Post Malone (f/Ty Dolla $ign),Psycho (Remix),124,R,2018
1458,Drake,God's Plan,77,R,2018
1459,Drake,God's Plan (Remix),128,R,2018
1460,Bazzi,Mine,72,R,2018
1461,Bazzi,Mine (Remix),80,R,2018
1462,Bazzi,Mine (Remix),85,R,2018
1463,Bazzi,Mine (Remix),101,R,2018
1464,Bazzi,Mine (Remix),123,R,2018
1465,Bazzi,Mine (Remix),128,R,2018
1466,The Weeknd & Kendrick Lamar,Pray For Me,101,R,2018
1467,Kendrick Lamar & Sza,All The Stars,97,R,2018
1468,Taylor Swift,Delicate,95,R,2018
1469,Taylor Swift,Delicate (Remix),120,R,2018
1470,Marshmello x Anne Marie,Friends (Remix),124,R,2018
1471,Marshmello x Anne Marie,Friends,95,R,2018
1472,Lauv,I Like Me Better,92,R,2018
1473,Lauv,I Like Me Better (Remix),100,R,2018
1474,Lauv,I Like Me Better (Remix),120,R,2018
1475,Zedd & Maren Morris,The Middle,107,R,2018
1476,Zedd & Maren Morris,The Middle (Remix),125,R,2018
1477,Dua Lipa,New Rules,116,R,2018
1478,Dua Lipa,New Rules (Remix),122,R,2018
1479,Calvin Harris (f/Dua Lipa),One Kiss,124,R,2018
1480,Camila Cabello,Never Be The Same (Remix),130,R,2018
1481,Shawn Mendes,In My Blood (Remix),128,R,2018
1482,Halsey,Bad At Love (Remix),118,R,2018
1483,NF,Let You Down,74,R,2018
1484,NF,Let You Down (Remix),128,R,2018
1485,Camila Cabello,Havana,105,R,2018
1486,Camila Cabello,Havana (Remix),120,R,2018
1487,Camila Cabello,Havana (Remix),124,R,2018
1488,Ed Sheeran,Perfect (Remix),70,R,2018
1489,Ed Sheeran,Perfect (Remix),126,R,2018
1490,G-Eazy & Halsey,Him & I,88,R,2018
1491,G-Eazy & Halsey,Him & I (Remix),120,R,2018
1492,Imagine Dragons,Whatever It Takes (Remix),77,R,2018
1493,Imagine Dragons,Whatever It Takes (Remix),126,R,2018
1494,Imagine Dragons,Thunder,84,R,2018
1495,Imagine Dragons,Thunder (Remix),90,R,2018
1496,Imagine Dragons,Thunder (Remix),124,R,2018
1497,Imagine Dragons,Thunder (Remix),126,R,2018
1498,Bebe Rexha (f/FGL),Meant To Be,77,R,2018
1499,Bebe Rexha (f/FGL),Meant To Be (Remix),85,R,2018
1500,Max (f/Gnash),Lights Down Low,81,R,2018
1502,Max (f/Gnash),Lights Down Low (Remix),105,R,2018
1503,"Portugal, The Man",Feel It Still,79,R,2018
1504,"Portugal, The Man",Feel It Still (Remix),124,R,2018
1505,"Portugal, The Man",Feel It Still (Remix),126,R,2018
1506,Bruno Mars,That's What I Like,67,R,2018
1507,Bruno Mars,That's What I Like,70,R,2018
1508,Bruno Mars,That's What I Like,132,R,2018
1509,Liam Payne (f/Quavo),Strip That Down,106,R,2018
1510,Liam Payne (f/Quavo),Strip That Down (Remix),128,R,2018
1511,Post Malone (f/21 Savage),Rockstar,81,R,2018
1512,Post Malone (f/21 Savage),Rockstar (Remix),110,R,2018
1513,Bruno Mars (f/Cardi B),Finesse,105,R,2018
1514,Bruno Mars (f/Cardi B),Finesse (Remix),122,R,2018
1515,Bruno Mars (f/Cardi B),Finesse (Remix),124,R,2018
1516,Maroon 5,Wait (Remix),122,R,2018
1518,Cheat Codes (f/Demi Lovato),No Promises (Remix),120,R,2018
1519,Selena Gomez x Marshmello,Wolves (Remix),125,R,2018
1520,Cash Cash,Finest Hour,95,R,2018
1521,Hailee Steinfeld & Alesso (f/FGL),Let Me Go,103,R,2018
1522,Foster The People,Sit Next To Me (Remix),105,R,2018
1525,Macklemore (f/Kesha),Good Old Days,123,R,2018
1526,Julia Michaels,Issues (Remix),114,R,2018
1527,Julia Michaels,Issues (Remix),118,R,2018
1528,Julia Michaels,Issues (Remix),125,R,2018
1529,Halsey,Now Or Never (Remix),105,R,2018
1530,Bruno Mars,24K Magic,107,R,2017
1531,Dua Lipa,IDGAF,97,R,2018
1532,Dua Lipa,IDGAF (Remix),128,R,2018
1533,Khalid,Young Dumb & Broke,80,R,2018
1534,Khalid,Young Dumb & Broke,67,R,2018
1535,Khalid,Young Dumb & Broke,75,R,2018
1536,Demi Lovato,Tell Me You Love Me (Remix),105,R,2018
1537,Kendrick Lamar,Love (Remix),126,R,2018
1538,Sam Hunt,Body Like A Back Road,100,R,2018
1539,Halsey (f/Big Sean & Stefflon Don),Alone,100,R,2018
1541,Pink,What About Us? (Remix),125,R,2018
1542,Meghan Trainor,No Excuses,115,R,2018
1543,Meghan Trainor,No Excuses (Remix),125,R,2018
1544,Sam Smith,Too Good At Goodbyes (Remix),100,R,2018
1545,DJ Khaled (f/Rihanna),Wild Thoughts (Remix),110,R,2018
1546,J Balvin & Willy William,Mi Gente (Remix),125,R,2018
1547,Ariana Grande,God Is A Woman,72,C,2018
1548,Zedd & Elley Duhe,Happy Now (Remix),107,R,2018
1550,Silk City (f/Dua Lipa),Electricity,118,C,2018
1551,Ariana Grande,Breathin' (Remix),125,C,2018
1552,BTS (f/Nicki Minaj),Idol,126,R,2018
1553,Bryce Vine,Drew Barrymore (Remix),124,C,2018
1556,Ella Mai,Boo'd Up (Remix),90,R,2018
1557,Ella Mai,Boo'd Up (Remix),123,R,2018
1559,Marshmello (f/Bastille),Happier,100,C,2018
1560,DJ Khaled (f/Justin Bieber & Quavo),No Brainer (Remix),112,R,2018
1561,LSD,Thunderclouds,112,C,2018
1562,Juice WRLD,Lucid Dreams (Remix),103,C,2018
1563,Bazzi (f/Camila Cabello),Beautiful (Remix),100,C,2018
1564,Ariana Grande,Breathin',100,C,2018
1565,Shawn Mendes & Zedd,Lost In Japan,107,C,2018
1566,Twenty One Pilots,My Blood,109,C,2018
1567,Bebe Rexha,I'm A Mess (Remix),125,C,2018
1568,Marshmello (f/Bastille),Happier (Remix),128,C,2018
1570,6ix9ine (f/Nicki Minaj),Fefe (Remix),121,C,2018
1571,Ariana Grande,God Is A Woman (Remix),80,C,2018
1572,Selena Gomez,Back To You (Remix),112,R,2018
1573,Marshmello (f/Bastille),Happier (Remix),126,C,2018
1574,Benny Blanco (f/Halsey & Khalid),Eastside (Remix),122,C,2018
1575,Benny Blanco (f/Halsey & Khalid),Eastside (Remix),95,C,2018
1576,Loud Luxury (f/Brando),Body (Remix),126,C,2018
1578,Yella Beezy,That's On Me (Remix),132,C,2018
1581,Drake (f/Michael Jackson),Don't Matter To Me,103,C,2018
1582,The Chainsmokers (f/Kelsea Ballerini),This Feeling,105,C,2018
1584,Silk City (f/Dua Lipa),Electricity (Remix),124,C,2018
1585,Juice WRLD,Lucid Dreams (Remix),95,C,2018
1586,Post Malone (f/Swae Lee),Sunflower,90,C,2018
1587,Dan & Shay,Tequila (Remix),100,C,2018
1588,DJ Snake (f/Selena Gomez & Cardi B),Taki Taki,96,C,2018
1589,Panic At The Disco,High Hopes (Remix),126,C,2018
1590,Travis Scott & Drake,Sicko Mode (Remix),128,C,2018
1591,Travis Scott & Drake,Sicko Mode,78,C,2018
1592,LSD,Thunderclouds (Remix),124,C,2018
1593,Lady Gaga & Bradley Cooper,Shallow (Remix),120,C,2018
1594,Halsey,Without You,72,C,2018
1595,Halsey,Without You (Remix),126,C,2018
1596,Juice WRLD,Lucid Dreams (Remix),122,C,2018
1597,Khalid,Better,96,C,2018
1598,Ellie Goulding (f/Diplo & Swae Lee),Close To Me,72,C,2018
1599,Ellie Goulding (f/Diplo & Swae Lee),Close To Me (Remix),126,C,2018
1600,5 Seconds Of Summer,Youngblood (Remix),128,C,2018
